date,sh_SWE_mm,sh_SWE_qc,sh_SWE_qa,sh_snowdepth_cm,sh_snowdepth_qc,sh_snowdepth_qa,sh_precip_mm,sh_precip_qc,sh_precip_qa,sh_temp_C,sh_temp_qc,sh_temp_qa,sh_sm2_pct,sh_sm2_qc,sh_sm2_qa,sh_sm8_pct,sh_sm8_qc,sh_sm8_qa,sh_sm20_pct,sh_sm20_qc,sh_sm20_qa,sh_st2_C,sh_st2_qc,sh_st2_qa,sh_st8_C,sh_st8_qc,sh_st8_qa,sh_st20_C,sh_st20_qc,sh_st20_qa,stationid
2007-10-01 00:00:00,0.0,E,P,0.0,E,A,0.0,E,P,4.7,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 01:00:00,0.0,E,P,0.0,V,A,0.0,E,P,4.5,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 02:00:00,0.0,E,P,0.0,V,A,0.0,E,P,4.5,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 03:00:00,0.0,E,P,0.0,V,A,0.0,E,P,4.1,E,F,0.0,V,A,3.1,V,A,0.9,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 04:00:00,0.0,E,P,0.0,V,A,0.0,E,P,3.6,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 05:00:00,0.0,E,P,0.0,V,A,0.0,E,P,3.5,E,F,0.0,V,A,3.2,V,A,0.9,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 06:00:00,0.0,E,P,0.0,V,A,0.0,E,P,2.6,E,F,0.0,V,A,3.2,V,A,0.9,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 07:00:00,0.0,E,P,0.0,V,A,0.0,E,P,3.3,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 08:00:00,0.0,E,P,0.0,V,A,0.0,E,P,3.5,E,F,0.0,V,A,3.3,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 09:00:00,0.0,E,P,0.0,V,A,0.0,V,P,4.3,E,F,0.0,V,A,3.2,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 10:00:00,0.0,E,P,0.0,V,A,0.0,V,P,6.8,E,F,0.0,V,A,2.9,V,A,1.0,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 11:00:00,0.0,E,P,0.0,V,A,0.0,E,P,6.8,E,F,0.0,V,A,3.0,V,A,0.9,V,A,5.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 12:00:00,0.0,E,P,0.0,V,A,0.0,V,P,8.7,E,F,0.0,V,A,2.9,V,A,1.0,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 13:00:00,0.0,E,P,0.0,V,A,0.0,V,P,10.0,E,F,0.0,V,A,3.2,V,A,1.0,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
2007-10-01 14:00:00,0.0,E,P,0.0,V,A,0.0,V,P,9.7,E,F,0.0,V,A,3.3,V,A,1.0,V,A,6.0,V,A,6.0,V,A,6.0,V,A,356
